Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
3/2/2001,78.65843553899225,80.68108200406223,78.53001556298162,79.37117767333984,12564300,2,4,9,3,2001
3/5/2001,79.71791364125558,80.12244095518987,79.49959381,80.09675598144531,5293200,5,0,10,3,2001
3/6/2001,81.13055893,82.02951348148123,80.57834420005584,80.95719146728516,6917000,6,1,10,3,2001
3/7/2001,81.48371001181758,81.57360496477877,80.75170545261496,81.53507995605469,6371700,7,2,10,3,2001
3/8/2001,81.29108496235706,81.70203477,80.99571509577592,81.62498474121094,6055000,8,3,10,3,2001
3/9/2001,80.97001107,80.97001107,79.05010494108745,79.21063232421875,10020300,9,4,10,3,2001
3/12/2001,78.55570412540678,78.65844404,75.60842273706851,75.82032012939453,13972900,12,0,11,3,2001
3/13/2001,76.66789702447886,77.33569168174888,75.46715015531429,77.06600189208984,12888000,13,1,11,3,2001
3/14/2001,75.15894747479268,76.59727193,74.32420284825106,75.54421234,19883400,14,2,11,3,2001
3/15/2001,76.05786052436169,76.32112774386883,75.35796359253168,75.56343841552734,10370300,15,3,11,3,2001
3/16/2001,75.41277797936782,75.58661707037815,73.91907333,74.04784393310547,58514600,16,4,11,3,2001
3/19/2001,74.53072749936399,75.77333569014016,73.92551789,75.55442810058594,10067800,19,0,12,3,2001
3/20/2001,75.90855723504257,76.26910520940936,73.46840882372959,73.52635192871094,15083900,20,1,12,3,2001
3/21/2001,73.51349752487067,74.20884444834142,72.04554618338734,72.27732849121094,19004600,21,2,12,3,2001
3/22/2001,72.12277798256046,72.49620544680083,69.56030380981547,71.54332733154297,28624800,22,3,12,3,2001
3/23/2001,72.91470345,73.82251800796175,71.78798617645454,73.70662689208984,12861700,23,4,12,3,2001
3/26/2001,74.49209695959694,74.85908463162583,73.89332708,74.64662170410156,9943800,26,0,13,3,2001
3/27/2001,74.44063873220897,76.39146937682544,74.22173100089134,76.17256164550781,12880700,27,1,13,3,2001
3/28/2001,75.26476326,75.29695225607382,73.97708554832887,74.06722259521484,10953300,28,2,13,3,2001
3/29/2001,73.84827334477465,75.00718459956416,72.20004837093882,74.35047149658203,12060300,29,3,13,3,2001
3/30/2001,74.39553354513116,75.12950897216797,73.71950122,75.12950897216797,9183600,30,4,13,3,2001
4/2/2001,74.87841665678191,75.57375847704677,73.26882046821908,73.52635192871094,10561000,2,0,14,4,2001
4/3/2001,73.38471657841157,73.49416794777005,70.86086584999869,71.07333374023438,12836000,3,1,14,4,2001
4/4/2001,71.1892176,72.17428964390045,70.37154492,71.36949157714844,14884300,4,2,14,4,2001
